ObjectID,Plat-Lot#,StreetAddress,city,state,Zip,ZipCode,geo_score,geo_address,geo_lat,geo_lon,List_type,Class Desc,Housing Units,Tax_Value$,Tax_Value,Tax_Bill$,Tax_Bill
065-0641-0000,065-0641-0000,24 BOYD ST,Providence,RI,2909,02909,100,"24 BOYD ST, PROVIDENCE",41.82710315,-71.43959657,Waste Collection ID,Single Family,1,"$86,800.00 ",86800.00,"$2,929.52 ",2929.52
065-0697-0000,065-0697-0000,15 CUTLER ST,Providence,RI,2909,02909,68.49,"21 CUTLER ST, PROVIDENCE, 02909",41.82404164,-71.4415531,City-owned Tax Sale,Residential Vacant Land,0,"$25,700.00 ",25700.00,$867.40 ,867.40
065-0809-0000,065-0809-0000,6 ALTON ST,Providence,RI,2909,02909,100,"6 ALTON ST, PROVIDENCE",41.8289367,-71.44032524,Unconfirmed Vacated,Single Family,1,"$78,700.00 ",78700.00,"$2,656.16 ",2656.16
065-0859-0000,065-0859-0000,72 ALLSTON ST,Providence,RI,2909,02909,100,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,Commercial I,0,"$75,900.00 ",75900.00,"$2,789.36 ",2789.36
065-0860-0000,065-0860-0000,70 ALLSTON ST,Providence,RI,2909,02909,63,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,CI Vacant Land,0,"$54,100.00 ",54100.00,"$1,988.20 ",1988.20
065-0861-0000,065-0861-0000,64 ALLSTON ST,Providence,RI,2909,02909,63,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,CI Vacant Land,0,"$28,400.00 ",28400.00,"$1,043.72 ",1043.72
065-0862-0000,065-0862-0000,60 ALLSTON ST,Providence,RI,2909,02909,63,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,CI Vacant Land,0,"$39,100.00 ",39100.00,"$1,436.96 ",1436.96
065-0863-0000,065-0863-0000,50 ALLSTON ST,Providence,RI,2909,02909,63,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,CI Vacant Land,0,"$38,500.00 ",38500.00,"$1,414.88 ",1414.88
065-0867-0000,065-0867-0000,10 ALLSTON ST,Providence,RI,2909,02909,62,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,CI Vacant Land,0,"$77,300.00 ",77300.00,"$2,840.80 ",2840.80
065-0941-0000,065-0941-0000,76 HAROLD ST,Providence,RI,2909,02909,100,"76 HAROLD ST, PROVIDENCE",41.8290155,-71.43863421,Waste Collection ID,2 -5 Family,4,"$219,800.00 ",219800.00,"$7,418.28 ",7418.28
